,StopID,Days,Hours,Predict,Target,APE
629,4,1,7,582.63,600,0.028948
630,5,1,7,673.47,704,0.043371
631,6,1,7,768.11,800,0.039858
632,7,1,7,942.76,967,0.025071
633,8,1,7,1017.39,1040,0.021744
634,9,1,7,1193.22,1240,0.037728
635,11,1,7,1293.27,1340,0.034873
636,13,1,7,1448.54,1492,0.029127999999999998
637,14,1,7,1585.09,1633,0.029339999999999998
638,15,1,7,1674.01,1742,0.039029
639,16,1,7,1796.43,1852,0.030004000000000003
640,17,1,8,1923.03,1992,0.034625
641,18,1,8,2050.25,2112,0.029237
642,19,1,8,2155.76,2212,0.025427
643,20,1,8,2363.43,2442,0.032175
644,21,1,8,2537.75,2612,0.028428
645,22,1,8,2589.45,2672,0.030894
646,0,2,5,209.96,200,0.049783
647,1,2,5,364.74,350,0.042111
648,2,2,5,533.39,520,0.025748000000000004
649,3,2,6,706.15,710,0.005416
650,4,2,6,759.23,760,0.00101
651,5,2,6,856.08,849,0.008339
